UCHlNU7kIZhRgSbhHvFoy72w,HuggingFace,2.5,2023-11-21 18:17:00,IA,En
UCyz4M1pwJBNfjMFaUCHCNUQ,HussonFrancois,2.5,2023-11-21 16:45:00,Stats,Fr
UCMFcMhePnH4onVHt2-ItPZw,HygieneMentale,2.5,2023-11-21 18:24:00,Sceptic,Fr
UCm7aLHKeFtueIENAI5Mpf7A,InstinctGuitare,2.5,2023-11-21 16:33:00,Guitar,Fr
UCNzY0iQB1T1hzoO4zHEK5Eg,Ironquest,2.5,2023-11-21 16:33:00,Muscle,Fr
UCu1yiKjTRetsoZ-OSeOMmzg,jazztutorial,2.5,2023-11-21 16:37:00,Music,?
UCqr7gTprPLbkapVRIp-f-_Q,JeremyFerrari,2.5,2023-11-21 16:46:00,Humour,Fr
UCUP5EGxbtsKwxy93CS_9iLg,JoachimMouhamad,2.5,2023-11-21 16:31:00,Chess,Fr
UC0FIKAE7xORm6Y91kWbg4cA,JohnTaieb,1,2023-11-21 18:31:00,Code,?
UC_yP2DpIgs5Y1uWC0T03Chw,joueurdugrenier,2.5,2023-11-21 18:33:00,Gaming,Fr
UCiHAIS2qHFMNy2T3ESTpHNQ,JulienFlot,2.5,2023-11-21 16:23:00,Finance,Fr
UC3FXGTXQqx9cc2T7EDhslIQ,JulienSong,2.5,2023-11-21 16:47:00,Chess,Fr
UC_CXtrkW1a343sChq8DnBGA,karatebushido,2.5,2023-11-21 18:34:00,Muscle,Fr
UCsRIv1fsbnQRIPKmUQbRzZg,KhaosFarbautiIbnOblivion,2.5,2023-11-21 16:29:00,Hack,Fr
UCt59v3EFJVWwUx3FewPGpWg,KillTiltpoker,2.5,2023-11-21 16:31:00,Poker,Fr
UCb68flOoUHVz98jUJk5XCSw,KoudetatTV,2.5,2023-11-21 16:45:00,Business,Fr
UCsXVk37bltHxD1rDPwtNM8Q,kurzgesagt,2.5,2023-11-21 18:17:00,Science,En
UCWYxQt9Y3y2CDzXLf2K7xCA,lanternecosmique,2.5,2023-11-21 18:31:00,Science,Fr
UC-eE8zE7Czp0pueSYyS4jDQ,Lapetitetrotteuse,2.5,2023-11-21 16:47:00,Watch,Fr
UClFmEmqGurJjeH0JEdw0GDw,LeCalibre,2.5,2023-11-21 16:42:00,Watch,Fr
UCoincaYNa5FBdi-I5oqHAMw,LeCoinStat,2.5,2023-11-21 16:30:00,Stats,Fr
UCypzG0nv9B65DwOLJ578rZQ,LeJournaldelEspace,2.5,2023-11-21 16:24:00,Space,Fr
UCXO8f8SAVP02zSAxnSvtYHw,LePointGenius,2.5,2023-11-21 16:41:00,Science,Fr
UCyIV8rkza5Uk_sJIhqilBvQ,lequipe,2.5,2023-11-21 16:14:00,Sport,Fr
UC9WKeSyfajhE-337rs0bO2Q,LesClesDuPiano,2.5,2023-11-21 18:21:00,Piano,Fr
UCjsHDXUU3BjBCG7OaCbNDyQ,LeSenseOfWonder,2.5,2023-11-21 18:33:00,Science,Fr
UCH6rAZUDfVIoVSJjm3vlcnw,LEspritSorcierOfficiel,2.5,2023-11-21 16:38:00,Science,Fr
UChCDYcBCrb8tuPAO6e0P-Hw,LeWagon,2.5,2023-11-21 18:24:00,School,?
UCN4TCCaX-gqBNkrUqXdgGRA,lhistoirenousledira,2.5,2023-11-21 18:17:00,History,Fr
UCmvSTbXOOvxXj26vvQBasXg,LibreRiche,2.5,2023-11-21 16:24:00,Finance,Fr
UCHL0yzuBvMDqY2DVoKep3EQ,loperaetseszouz,2.5,2023-11-21 18:21:00,Music,Fr
UCt25qnVXVq83duXaOZe5B5g,LucasParleF1,2.5,2023-11-21 16:22:00,F1,Fr
UCmpptkXu8iIFe6kfDK5o7VQ,MachineLearnia,2.5,2023-11-21 16:45:00,Python,Fr
UCsnRkRtbTyISkfGTGwM7VfQ,MajorMouvement,2.5,2023-11-21 18:43:00,Muscle,Fr
UCSmUdD2Dd_v5uqBuRwtEZug,MarketingMania,2.5,2023-11-21 18:21:00,Business,Fr
UC4PasDd25MXqlXBogBw9CAg,Micmaths,2.5,2023-11-21 16:41:00,Maths,Fr
UCu1RanxM-Q9ahuCZdeO-_tQ,Micode,2.5,2023-11-21 16:31:00,Tech,Fr
UCUHW94eEFW7hkUMVaZz4eDg,MinutePhysics,2.5,2023-11-21 18:31:00,Science,En
UCEBb1b_L6zDS3xTUrIALZOw,mitocw,2.5,2023-11-21 18:24:00,School,En
