channel_id,url,categ_1_id,language_id,interest,date,rss_url
eDevenirTrader,https://www.youtube.com/eDevenirTrader,Finance,Fr,,2023-11-21 18:41:00,UC4FjYNJEMUvCvq2zUdJ8Uzw
edurekaIN,https://www.youtube.com/edurekaIN,Code,En,,2023-11-21 16:21:00,UCkw4JCwteGrDHIsyIIKo4tQ
ElJj,https://www.youtube.com/ElJj,Maths,Fr,,2023-11-21 18:31:00,
Epenser1,https://www.youtube.com/Epenser1,Science,Fr,,2023-11-21 21:46:00,UCcziTK2NKeWtWQ6kB5tmQ8Q
epenseraussi,https://www.youtube.com/epenseraussi,Science,Fr,,2023-11-21 16:14:00,UCJEZqCflPp4GMw9ezZEGuFQ
EricFlag,https://www.youtube.com/EricFlag,Muscle,Fr,,2023-11-21 18:43:00,UCPJJkwm48LGt7LC6tUZMWZQ
EtincellesEPFL,https://www.youtube.com/EtincellesEPFL,Misc.,?,,2023-11-21 16:45:00,UC0o_ULEdwva8ksC63qvxMAA
Exo7Math,https://www.youtube.com/Exo7Math,Maths,Fr,,2023-11-21 18:31:00,UCSO-j_Rg4gf_Wpsjf4MSLyw
FabienOlicardLadeuxiemechaine,https://www.youtube.com/FabienOlicardLadeuxiemechaine,Misc.,Fr,,2023-11-21 16:47:00,UCNb5m2Pt75dpjNnjIzNylqA
Fouloscopie,https://www.youtube.com/Fouloscopie,Science,Fr,,2023-11-21 16:36:00,UCLXDNUOO3EQ80VmD9nQBHPg
frandroid,https://www.youtube.com/frandroid,Tech,Fr,,2023-11-21 16:23:00,UCgoxc-VKU0cw9BcM9z_qokg
frank.sans.c,https://www.youtube.com/frank.sans.c,Watch,Fr,,2023-11-21 16:23:00,
freecodecamp,https://www.youtube.com/freecodecamp,Code,En,,2023-11-21 16:14:00,UC8butISFwT-Wl7EV0hUK0BQ
GarageDesBlogs,https://www.youtube.com/GarageDesBlogs,Cars,Fr,,2023-11-21 16:31:00,UCxWEtSo-Egz22h8kU0lz8Qw
ggmilgram,https://www.youtube.com/ggmilgram,Sceptic,Fr,,2023-11-21 16:19:00,
gillesvk,https://www.youtube.com/gillesvk,Agriculture,Fr,,2023-11-21 16:40:00,UCo4pMCeqy3BIuVo82bJxWbg
